,region,year,opzh,vrp,real_wage_index,unemployment_rate,living_wage,capture_mass_level,emissions_mass_level,hospital_beds,doctors,lag_opzh
84,Белгородская область,2003,68.26,76054.5,114.6,8.2,1714.0,763.0,98.0,118.0,38.9,67.38
105,Брянская область,2003,64.62,43700.3,110.6,7.4,1757.0,742.0,55.0,126.4,36.9,64.65666666666667
126,Владимирская область,2003,63.18,61818.6,109.7,10.1,1857.0,21.0,33.0,114.3,34.7,64.115
189,Воронежская область,2003,66.19,100143.3,121.8,8.1,1810.0,40.0,47.0,111.4,51.2,64.845
231,Ивановская область,2003,62.42,33214.6,109.0,6.6,2065.0,31.0,42.0,138.0,52.1,63.5
315,Калужская область,2003,64.56,48792.7,112.2,6.2,2066.0,95.0,13.0,114.6,39.8,65.78750000000001
399,Костромская область,2003,62.39,29692.1,110.8,6.2,1952.0,74.0,49.0,150.4,36.1,64.818
483,Курская область,2003,65.35,56383.1,119.8,8.5,2164.0,33.0,20.0,115.8,49.4,64.0
525,Липецкая область,2003,65.85,96241.9,113.3,4.4,1703.0,1522.0,396.0,130.2,39.7,63.1975
567,Московская область,2003,65.26,412089.3,110.5,4.4,2380.0,1099.0,171.0,103.5,34.1,62.17714285714285
714,Орловская область,2003,65.23,42073.3,103.1,7.8,1728.0,10.0,15.0,115.9,37.7,63.845
1155,Рязанская область,2003,63.91,59607.2,113.7,8.3,1918.0,237.0,120.0,129.1,53.4,62.92
1260,Смоленская область,2003,62.34,49085.7,109.1,10.8,1925.0,121.0,37.0,134.9,62.3,64.345
1302,Тамбовская область,2003,65.47,46877.7,115.0,9.0,1683.0,13.0,25.0,125.6,34.4,64.02666666666667
1323,Тверская область,2003,61.53,68805.3,112.6,6.6,2061.0,20.0,51.0,127.5,51.8,0.0
1365,Тульская область,2003,63.03,72258.0,109.3,5.3,1784.0,872.0,153.0,139.1,33.7,67.08800000000001
1533,Ярославская область,2003,63.46,92073.4,112.4,5.7,1958.0,81.0,86.0,126.0,56.9,63.53666666666666
1554,г. Москва,2003,69.64,2188231.5,119.3,1.3,3208.0,121.0,97.0,99.1,73.0,65.48833333333333
945,Республика Карелия,2003,60.81,46588.9,106.7,8.4,2425.0,164.0,132.0,123.2,49.9,63.91625
966,Республика Коми,2003,61.67,107149.0,104.5,11.9,2823.0,383.0,631.0,120.1,43.7,63.638000000000005
42,Архангельская область,2003,62.11,103951.3,110.8,9.9,2505.0,747.0,296.0,122.3,52.8,64.7325
168,Вологодская область,2003,62.47,107544.6,108.3,4.7,2026.0,1140.0,445.0,118.3,33.9,65.43333333333332
294,Калининградская область,2003,61.68,46757.7,111.9,7.6,2346.0,6.0,35.0,107.7,35.7,62.34666666666666
504,Ленинградская область,2003,61.74,121222.3,106.0,8.7,2185.0,1426.0,184.0,92.7,29.8,65.082
588,Мурманская область,2003,63.2,80604.1,101.5,10.2,3377.0,1698.0,318.0,114.3,49.0,65.29400000000001
630,Новгородская область,2003,60.84,38081.7,111.8,5.0,2053.0,54.0,50.0,126.8,38.7,65.34833333333333
777,Псковская область,2003,60.86,29488.4,114.8,8.1,1820.0,7.0,18.0,122.7,34.0,63.92333333333333
1575,г. Санкт-Петербург,2003,66.49,409638.5,104.8,4.2,2601.0,70.0,60.0,99.5,77.3,63.45625
798,Республика Адыгея,2003,67.51,9849.3,110.1,15.9,1665.0,7.0,2.0,108.3,36.8,66.09
924,Республика Калмыкия,2003,66.18,6539.5,102.2,17.5,1756.0,0.9,3.0,134.1,48.8,63.18625000000001
420,Краснодарский край,2003,67.33,248565.5,105.7,10.2,1910.0,434.0,115.0,99.4,43.2,64.7525
63,Астраханская область,2003,65.36,50659.8,109.5,10.1,1949.0,13.0,118.0,127.2,65.5,67.54
147,Волгоградская область,2003,66.43,128622.2,113.7,11.0,1821.0,410.0,224.0,120.6,47.1,65.21
1134,Ростовская область,2003,66.47,171849.0,109.6,12.6,1961.0,672.0,149.0,98.5,36.8,63.744
882,Республика Дагестан,2003,72.33,57626.7,117.3,20.6,1694.0,5.0,26.0,68.5,37.3,63.236
903,Республика Ингушетия,2003,75.13,4756.6,111.8,55.6,2026.0,0.2,1.0,43.5,24.1,63.260000000000005
273,Кабардино-Балкарская Республика,2003,68.7,25997.4,111.3,22.6,1624.0,2.0,2.0,102.8,41.2,63.07
336,Карачаево-Черкесская Республика,2003,68.1,11481.1,111.1,19.2,1740.0,260.0,14.0,97.2,33.1,64.61
1050,Республика Северная Осетия - Алания,2003,68.47,18925.2,102.1,10.2,1535.0,169.0,8.0,97.7,67.1,62.11
1281,Ставропольский край,2003,67.14,101382.6,108.3,10.5,1962.0,106.0,73.0,88.1,42.6,66.755
840,Республика Башкортостан,2003,66.39,242920.5,105.5,8.1,1780.0,666.0,462.0,102.3,41.5,63.156000000000006
987,Республика Марий Эл,2003,63.99,22987.3,114.5,12.0,1748.0,8.0,25.0,122.3,35.6,63.795
1008,Республика Мордовия,2003,66.28,33244.0,118.0,7.4,1821.0,492.0,42.0,132.4,50.7,63.685
1071,Республика Татарстан,2003,67.84,305086.1,104.7,6.7,1764.0,289.0,270.0,108.9,45.4,65.59
1407,Удмуртская Республика,2003,64.34,89034.5,110.5,6.7,1979.0,50.0,193.0,133.9,56.6,64.964
1491,Чувашская Республика,2003,66.09,45133.1,114.4,8.5,1764.0,31.0,53.0,112.6,45.9,64.935
378,Кировская область,2003,63.71,57795.8,109.6,7.3,2021.0,90.0,74.0,163.6,45.9,61.58
609,Нижегородская область,2003,64.03,206926.0,105.0,6.2,2085.0,272.0,168.0,121.3,44.1,63.4275
