region,year,opzh,vrp,real_wage_index,unemployment_rate,living_wage,capture_mass_level,emissions_mass_level
Белгородская область,2001,67.38,49941.8,118.2,6.5,,623.0,94.0
Брянская область,2001,65.05,30110.3,125.0,10.0,1258.0,535.0,41.0
Владимирская область,2001,63.56,42075.4,119.9,9.9,1328.0,18.0,41.0
Воронежская область,2001,66.17,60014.6,115.8,9.6,,59.0,60.0
Ивановская область,2001,63.18,22175.9,124.3,5.6,1497.0,34.0,36.0
Калужская область,2001,64.27,31860.0,123.7,6.0,1359.0,98.0,15.0
Костромская область,2001,63.65,22221.5,120.0,6.0,1386.0,43.0,51.0
Курская область,2001,65.87,36399.8,111.2,10.4,1456.0,42.0,21.0
Липецкая область,2001,66.53,50574.1,117.4,6.6,1254.0,1125.0,388.0
Московская область,2001,64.77,235159.6,121.8,5.5,1653.0,1150.0,172.0
Орловская область,2001,65.37,27624.8,120.8,7.9,,7.0,15.0
Рязанская область,2001,64.71,37054.3,125.4,11.2,1382.0,322.0,125.0
Смоленская область,2001,62.7,36016.3,119.0,9.9,1380.0,92.0,30.0
Тамбовская область,2001,65.93,31086.6,119.0,12.4,1302.0,17.0,25.0
Тверская область,2001,61.94,46986.4,122.8,7.8,1443.0,25.0,40.0
Тульская область,2001,63.0,52891.2,120.2,5.2,1273.0,707.0,208.0
Ярославская область,2001,64.22,61149.6,120.7,7.1,,177.0,89.0
г. Москва,2001,67.4,1370182.8,124.0,2.1,2385.0,150.0,94.0
Республика Карелия,2001,62.96,33721.2,109.8,8.7,,166.0,139.0
Республика Коми,2001,64.79,78276.5,117.5,14.0,1989.0,461.0,688.0
Архангельская область,2001,63.87,67274.7,116.6,8.8,1806.0,909.0,296.0
Вологодская область,2001,64.37,65425.3,116.0,8.9,,1615.0,476.0
Калининградская область,2001,63.0,32327.2,121.6,9.6,1774.0,26.0,43.0
Ленинградская область,2001,61.99,75858.6,120.7,6.9,,2787.0,182.0
Мурманская область,2001,65.87,57569.3,114.4,12.8,2359.0,1755.0,369.0
Новгородская область,2001,62.32,27501.0,117.7,6.4,,57.0,50.0
Псковская область,2001,61.58,19416.9,118.2,10.3,1345.0,4.0,20.0
г. Санкт-Петербург,2001,66.19,251654.4,119.9,3.9,,182.0,57.0
Республика Адыгея,2001,68.77,6641.8,114.0,14.1,1292.0,4.0,4.0
Республика Калмыкия,2001,66.32,6732.0,123.3,19.1,1399.0,3.0,5.0
Краснодарский край,2001,67.0,179177.5,118.7,10.7,1400.0,486.0,104.0
Астраханская область,2001,65.18,32274.3,116.0,10.5,1585.0,193.0,107.0
Волгоградская область,2001,65.88,82919.7,116.0,9.8,,427.0,376.0
Ростовская область,2001,66.23,118762.5,125.3,12.9,1384.0,833.0,189.0
Республика Дагестан,2001,71.56,31544.0,114.5,28.8,1333.0,4.0,27.0
Республика Ингушетия,2001,74.6,3604.3,109.3,34.9,1753.0,0.5,2.0
Кабардино-Балкарская Республика,2001,67.96,19443.3,113.3,16.8,,2.0,2.0
Карачаево-Черкесская Республика,2001,69.38,7324.8,121.5,18.6,1212.0,172.0,11.0
Республика Северная Осетия - Алания,2001,69.43,12665.3,121.4,16.7,1237.0,191.0,11.0
Ставропольский край,2001,67.75,67860.4,120.4,9.8,1389.0,100.0,76.0
Республика Башкортостан,2001,66.68,166974.8,120.6,10.7,1353.0,674.0,506.0
Республика Марий Эл,2001,64.58,15087.8,116.3,9.4,1324.0,11.0,23.0
Республика Мордовия,2001,67.38,22089.5,117.1,10.5,1343.0,339.0,50.0
Республика Татарстан,2001,67.63,213740.0,120.3,6.3,,221.0,260.0
Удмуртская Республика,2001,65.26,65551.4,119.8,7.5,1383.0,55.0,146.0
Чувашская Республика,2001,66.36,30778.5,117.4,9.6,1294.0,50.0,51.0
Кировская область,2001,65.88,41699.0,114.0,7.7,1502.0,138.0,85.0
Нижегородская область,2001,64.92,149322.6,120.7,8.3,1446.0,177.0,182.0
Оренбургская область,2001,65.21,85168.3,111.0,8.5,,635.0,500.0
Пензенская область,2001,66.54,33262.6,114.6,13.9,,28.0,18.0
Самарская область,2001,64.73,180049.3,118.8,6.0,1661.0,588.0,313.0
Саратовская область,2001,65.42,83665.7,115.9,10.0,1535.0,258.0,113.0
Ульяновская область,2001,65.99,38563.6,107.5,9.0,1367.0,187.0,43.0
Курганская область,2001,64.95,25379.6,113.7,13.3,1496.0,132.0,91.0
Свердловская область,2001,64.72,199859.1,114.1,7.7,1703.0,9209.0,1407.0
Тюменская область,2001,66.73,753119.2,122.0,10.4,,27.0,2381.0
Челябинская область,2001,65.08,142461.9,110.9,8.7,1620.0,4016.0,984.0
Республика Алтай,2001,62.37,4499.4,124.2,9.7,1445.0,2.0,9.0
Республика Тыва,2001,56.48,5197.2,125.9,23.9,,34.0,26.0
Республика Хакасия,2001,63.57,20041.0,113.4,8.8,1703.0,185.0,96.0
Алтайский край,2001,66.3,61854.4,110.3,9.9,1339.0,809.0,255.0
Красноярский край,2001,63.34,239420.0,110.5,9.7,,8628.0,2589.0
Иркутская область,2001,61.82,120240.0,112.9,10.9,1743.0,2654.0,505.0
Кемеровская область,2001,62.77,113800.2,112.6,10.0,1671.0,4457.0,1225.0
Новосибирская область,2001,66.26,95298.9,121.1,12.4,1702.0,806.0,198.0
Омская область,2001,66.65,61535.7,130.7,10.0,1439.0,1953.0,238.0
Томская область,2001,65.49,57041.1,125.7,9.8,1559.0,272.0,255.0
Республика Бурятия,2001,62.47,30075.1,115.3,18.5,,373.0,101.0
Республика Саха (Якутия),2001,64.37,100922.4,114.9,8.2,,316.0,130.0
Приморский край,2001,64.37,72826.1,114.5,8.6,,4117.0,352.0
Хабаровский край,2001,63.02,79891.5,114.8,10.3,,840.0,149.0
Амурская область,2001,62.43,39052.8,118.5,12.2,1889.0,249.0,92.0
Магаданская область,2001,65.06,17151.6,110.9,11.7,,71.0,37.0
Сахалинская область,2001,62.73,47140.1,112.2,12.0,,404.0,100.0
Еврейская автономная область,2001,62.27,4788.9,117.7,9.5,1799.0,122.0,20.0
Чукотский автономный округ,2001,62.54,6944.6,132.7,7.4,,31.0,32.0
Белгородская область,2002,67.53,62404.4,119.2,8.2,1576.0,723.0,100.0
