region,year,capture_mass_level
Белгородская область,2001,623.0
Брянская область,2001,535.0
Владимирская область,2001,18.0
Воронежская область,2001,59.0
Ивановская область,2001,34.0
Калужская область,2001,98.0
Костромская область,2001,43.0
Курская область,2001,42.0
Липецкая область,2001,1125.0
Московская область,2001,1150.0
Орловская область,2001,7.0
Рязанская область,2001,322.0
Смоленская область,2001,92.0
Тамбовская область,2001,17.0
Тверская область,2001,25.0
Тульская область,2001,707.0
Ярославская область,2001,177.0
г. Москва,2001,150.0
Республика Карелия,2001,166.0
Республика Коми,2001,461.0
Архангельская область,2001,909.0
Вологодская область,2001,1615.0
Калининградская область,2001,26.0
Ленинградская область,2001,2787.0
Мурманская область,2001,1755.0
Новгородская область,2001,57.0
Псковская область,2001,4.0
г. Санкт-Петербург,2001,182.0
Республика Адыгея,2001,4.0
Республика Калмыкия,2001,3.0
Краснодарский край,2001,486.0
Астраханская область,2001,193.0
Волгоградская область,2001,427.0
Ростовская область,2001,833.0
Республика Дагестан,2001,4.0
Республика Ингушетия,2001,0.5
Кабардино-Балкарская Республика,2001,2.0
Карачаево-Черкесская Республика,2001,172.0
Республика Северная Осетия - Алания,2001,191.0
Ставропольский край,2001,100.0
Республика Башкортостан,2001,674.0
Республика Марий Эл,2001,11.0
Республика Мордовия,2001,339.0
Республика Татарстан,2001,221.0
Удмуртская Республика,2001,55.0
Чувашская Республика,2001,50.0
Кировская область,2001,138.0
Нижегородская область,2001,177.0
Оренбургская область,2001,635.0
Пензенская область,2001,28.0
Самарская область,2001,588.0
Саратовская область,2001,258.0
Ульяновская область,2001,187.0
Курганская область,2001,132.0
Свердловская область,2001,9209.0
Тюменская область,2001,27.0
Челябинская область,2001,4016.0
Республика Алтай,2001,2.0
Республика Бурятия,2001,373.0
Республика Тыва,2001,34.0
Республика Хакасия,2001,185.0
Алтайский край,2001,809.0
Красноярский край,2001,8628.0
Иркутская область,2001,2654.0
Кемеровская область,2001,4457.0
Новосибирская область,2001,806.0
Омская область,2001,1953.0
Томская область,2001,272.0
Республика Саха (Якутия),2001,316.0
Приморский край,2001,4117.0
Хабаровский край,2001,840.0
Амурская область,2001,249.0
Магаданская область,2001,71.0
Сахалинская область,2001,404.0
Еврейская автономная область,2001,122.0
Чукотский автономный округ,2001,31.0
Белгородская область,2002,723.0
Брянская область,2002,491.0
Владимирская область,2002,17.0
Воронежская область,2002,44.0
Ивановская область,2002,36.0
Калужская область,2002,95.0
Костромская область,2002,87.0
Курская область,2002,33.0
Липецкая область,2002,1217.0
Московская область,2002,1169.0
Орловская область,2002,46.0
Рязанская область,2002,274.0
Смоленская область,2002,97.0
Тамбовская область,2002,14.0
Тверская область,2002,25.0
Тульская область,2002,606.0
Ярославская область,2002,153.0
г. Москва,2002,132.0
Республика Карелия,2002,165.0
Республика Коми,2002,433.0
Архангельская область,2002,746.0
Вологодская область,2002,1594.0
Калининградская область,2002,7.0
Ленинградская область,2002,2806.0
Мурманская область,2002,1597.0
Новгородская область,2002,56.0
Псковская область,2002,5.0
г. Санкт-Петербург,2002,144.0
Республика Адыгея,2002,7.0
Республика Калмыкия,2002,2.0
Краснодарский край,2002,463.0
Астраханская область,2002,12.0
Волгоградская область,2002,399.0
Ростовская область,2002,711.0
Республика Дагестан,2002,6.0
Республика Ингушетия,2002,0.5
Кабардино-Балкарская Республика,2002,2.0
Карачаево-Черкесская Республика,2002,201.0
Республика Северная Осетия - Алания,2002,180.0
Ставропольский край,2002,101.0
Республика Башкортостан,2002,753.0
Республика Марий Эл,2002,8.0
Республика Мордовия,2002,334.0
Республика Татарстан,2002,253.0
Удмуртская Республика,2002,43.0
Чувашская Республика,2002,44.0
Кировская область,2002,129.0
Нижегородская область,2002,187.0
Оренбургская область,2002,609.0
Пензенская область,2002,36.0
Самарская область,2002,515.0
Саратовская область,2002,259.0
Ульяновская область,2002,208.0
Курганская область,2002,98.0
Свердловская область,2002,7488.0
Тюменская область,2002,30.0
Челябинская область,2002,3534.0
Республика Алтай,2002,2.0
Республика Бурятия,2002,528.0
Республика Тыва,2002,27.0
Республика Хакасия,2002,169.0
Алтайский край,2002,666.0
Красноярский край,2002,8902.0
Иркутская область,2002,2759.0
Кемеровская область,2002,4679.0
