region,year,emissions_mass_level
Белгородская область,2001,94.0
Брянская область,2001,41.0
Владимирская область,2001,41.0
Воронежская область,2001,60.0
Ивановская область,2001,36.0
Калужская область,2001,15.0
Костромская область,2001,51.0
Курская область,2001,21.0
Липецкая область,2001,388.0
Московская область,2001,172.0
Орловская область,2001,15.0
Рязанская область,2001,125.0
Смоленская область,2001,30.0
Тамбовская область,2001,25.0
Тверская область,2001,40.0
Тульская область,2001,208.0
Ярославская область,2001,89.0
г. Москва,2001,94.0
Республика Карелия,2001,139.0
Республика Коми,2001,688.0
Архангельская область,2001,296.0
Вологодская область,2001,476.0
Калининградская область,2001,43.0
Ленинградская область,2001,182.0
Мурманская область,2001,369.0
Новгородская область,2001,50.0
Псковская область,2001,20.0
г. Санкт-Петербург,2001,57.0
Республика Адыгея,2001,4.0
Республика Калмыкия,2001,5.0
Краснодарский край,2001,104.0
Астраханская область,2001,107.0
Волгоградская область,2001,376.0
Ростовская область,2001,189.0
Республика Дагестан,2001,27.0
Республика Ингушетия,2001,2.0
Кабардино-Балкарская Республика,2001,2.0
Карачаево-Черкесская Республика,2001,11.0
Республика Северная Осетия - Алания,2001,11.0
Ставропольский край,2001,76.0
Республика Башкортостан,2001,506.0
Республика Марий Эл,2001,23.0
Республика Мордовия,2001,50.0
Республика Татарстан,2001,260.0
Удмуртская Республика,2001,146.0
Чувашская Республика,2001,51.0
Кировская область,2001,85.0
Нижегородская область,2001,182.0
Оренбургская область,2001,500.0
Пензенская область,2001,18.0
Самарская область,2001,313.0
Саратовская область,2001,113.0
Ульяновская область,2001,43.0
Курганская область,2001,91.0
Свердловская область,2001,1407.0
Тюменская область,2001,2381.0
Челябинская область,2001,984.0
Республика Алтай,2001,9.0
Республика Бурятия,2001,101.0
Республика Тыва,2001,26.0
Республика Хакасия,2001,96.0
Алтайский край,2001,255.0
Красноярский край,2001,2589.0
Иркутская область,2001,505.0
Кемеровская область,2001,1225.0
Новосибирская область,2001,198.0
Омская область,2001,238.0
Томская область,2001,255.0
Республика Саха (Якутия),2001,130.0
Приморский край,2001,352.0
Хабаровский край,2001,149.0
Амурская область,2001,92.0
Магаданская область,2001,37.0
Сахалинская область,2001,100.0
Еврейская автономная область,2001,20.0
Чукотский автономный округ,2001,32.0
Белгородская область,2002,100.0
Брянская область,2002,42.0
Владимирская область,2002,37.0
Воронежская область,2002,47.0
Ивановская область,2002,42.0
Калужская область,2002,14.0
Костромская область,2002,47.0
Курская область,2002,19.0
Липецкая область,2002,407.0
Московская область,2002,176.0
Орловская область,2002,14.0
Рязанская область,2002,121.0
Смоленская область,2002,35.0
Тамбовская область,2002,23.0
Тверская область,2002,50.0
Тульская область,2002,169.0
Ярославская область,2002,89.0
г. Москва,2002,93.0
