region,year,living_wage
Белгородская область,2001,
Брянская область,2001,1258.0
Владимирская область,2001,1328.0
Воронежская область,2001,
Ивановская область,2001,1497.0
Калужская область,2001,1359.0
Костромская область,2001,1386.0
Курская область,2001,1456.0
Липецкая область,2001,1254.0
Московская область,2001,1653.0
Орловская область,2001,
Рязанская область,2001,1382.0
Смоленская область,2001,1380.0
Тамбовская область,2001,1302.0
Тверская область,2001,1443.0
Тульская область,2001,1273.0
Ярославская область,2001,
г. Москва,2001,2385.0
Республика Карелия,2001,
Республика Коми,2001,1989.0
Архангельская область,2001,1806.0
Вологодская область,2001,
Калининградская область,2001,1774.0
Ленинградская область,2001,
Мурманская область,2001,2359.0
Новгородская область,2001,
Псковская область,2001,1345.0
г. Санкт-Петербург,2001,
Республика Адыгея,2001,1292.0
Республика Калмыкия,2001,1399.0
Краснодарский край,2001,1400.0
Астраханская область,2001,1585.0
Волгоградская область,2001,
Ростовская область,2001,1384.0
Республика Дагестан,2001,1333.0
Республика Ингушетия,2001,1753.0
Кабардино-Балкарская Республика,2001,
Карачаево-Черкесская Республика,2001,1212.0
Республика Северная Осетия - Алания,2001,1237.0
Ставропольский край,2001,1389.0
Республика Башкортостан,2001,1353.0
Республика Марий Эл,2001,1324.0
Республика Мордовия,2001,1343.0
Республика Татарстан,2001,
Удмуртская Республика,2001,1383.0
Чувашская Республика,2001,1294.0
Кировская область,2001,1502.0
Нижегородская область,2001,1446.0
Оренбургская область,2001,
Пензенская область,2001,
Самарская область,2001,1661.0
Саратовская область,2001,1535.0
Ульяновская область,2001,1367.0
Курганская область,2001,1496.0
Свердловская область,2001,1703.0
Тюменская область,2001,
Челябинская область,2001,1620.0
Республика Алтай,2001,1445.0
Республика Бурятия,2001,
Республика Тыва,2001,
Республика Хакасия,2001,1703.0
Алтайский край,2001,1339.0
Красноярский край,2001,
Иркутская область,2001,1743.0
Кемеровская область,2001,1671.0
Новосибирская область,2001,1702.0
Омская область,2001,1439.0
Томская область,2001,1559.0
Республика Саха (Якутия),2001,
Приморский край,2001,
Хабаровский край,2001,
Амурская область,2001,1889.0
Магаданская область,2001,
Сахалинская область,2001,
Еврейская автономная область,2001,1799.0
Чукотский автономный округ,2001,
Белгородская область,2002,1576.0
Брянская область,2002,1540.0
Владимирская область,2002,1546.0
Воронежская область,2002,1693.0
Ивановская область,2002,1848.0
Калужская область,2002,1771.0
Костромская область,2002,1701.0
Курская область,2002,1762.0
Липецкая область,2002,1480.0
Московская область,2002,2115.0
Орловская область,2002,
Рязанская область,2002,1629.0
Смоленская область,2002,1694.0
Тамбовская область,2002,1509.0
Тверская область,2002,1808.0
Тульская область,2002,1496.0
Ярославская область,2002,1783.0
г. Москва,2002,2918.0
Республика Карелия,2002,2054.0
Республика Коми,2002,2404.0
Архангельская область,2002,2217.0
Вологодская область,2002,1859.0
Калининградская область,2002,1930.0
Ленинградская область,2002,1899.0
Мурманская область,2002,2996.0
Новгородская область,2002,1791.0
Псковская область,2002,1571.0
г. Санкт-Петербург,2002,2291.0
Республика Адыгея,2002,1449.0
Республика Калмыкия,2002,1637.0
Краснодарский край,2002,1676.0
Астраханская область,2002,1746.0
Волгоградская область,2002,1693.0
Ростовская область,2002,1715.0
Республика Дагестан,2002,1505.0
Республика Ингушетия,2002,1897.0
Кабардино-Балкарская Республика,2002,1517.0
Карачаево-Черкесская Республика,2002,1508.0
Республика Северная Осетия - Алания,2002,1445.0
Ставропольский край,2002,1680.0
Республика Башкортостан,2002,1574.0
Республика Марий Эл,2002,1562.0
Республика Мордовия,2002,1680.0
Республика Татарстан,2002,1599.0
Удмуртская Республика,2002,1687.0
Чувашская Республика,2002,1621.0
Кировская область,2002,1757.0
Нижегородская область,2002,1727.0
Оренбургская область,2002,1666.0
Пензенская область,2002,1677.0
Самарская область,2002,1977.0
Саратовская область,2002,1831.0
Ульяновская область,2002,1702.0
Курганская область,2002,1816.0
Свердловская область,2002,2034.0
Тюменская область,2002,
Челябинская область,2002,1833.0
Республика Алтай,2002,1812.0
Республика Бурятия,2002,2024.0
Республика Тыва,2002,1956.0
Республика Хакасия,2002,1949.0
Алтайский край,2002,1514.0
Красноярский край,2002,2084.0
Иркутская область,2002,2066.0
Кемеровская область,2002,2010.0
Новосибирская область,2002,2086.0
Омская область,2002,1782.0
Томская область,2002,1980.0
Республика Саха (Якутия),2002,3091.0
Приморский край,2002,2603.0
Хабаровский край,2002,
Амурская область,2002,2209.0
Магаданская область,2002,
Сахалинская область,2002,3351.0
Еврейская автономная область,2002,2200.0
Чукотский автономный округ,2002,
Белгородская область,2003,1714
Брянская область,2003,1757
Владимирская область,2003,1857
Воронежская область,2003,1810
Ивановская область,2003,2065
Калужская область,2003,2066
Костромская область,2003,1952
Курская область,2003,2164
Липецкая область,2003,1703
Московская область,2003,2380
Орловская область,2003,1728
Рязанская область,2003,1918
Смоленская область,2003,1925
Тамбовская область,2003,1683
Тверская область,2003,2061
Тульская область,2003,1784
Ярославская область,2003,1958
г. Москва,2003,3208
Республика Карелия,2003,2425
Республика Коми,2003,2823
Архангельская область,2003,2505
Вологодская область,2003,2026
Калининградская область,2003,2346
Ленинградская область,2003,2185
Мурманская область,2003,3377
Новгородская область,2003,2053
Псковская область,2003,1820
г. Санкт-Петербург,2003,2601
Республика Адыгея,2003,1665
Республика Калмыкия,2003,1756
Краснодарский край,2003,1910
Астраханская область,2003,1949
Волгоградская область,2003,1821
Ростовская область,2003,1961
Республика Дагестан,2003,1694
Республика Ингушетия,2003,2026
Кабардино-Балкарская Республика,2003,1624
Карачаево-Черкесская Республика,2003,1740
Республика Северная Осетия - Алания,2003,1535
Ставропольский край,2003,1962
Республика Башкортостан,2003,1780
Республика Марий Эл,2003,1748
Республика Мордовия,2003,1821
Республика Татарстан,2003,1764
Удмуртская Республика,2003,1979
Чувашская Республика,2003,1764
Кировская область,2003,2021
Нижегородская область,2003,2085
Оренбургская область,2003,1856
Пензенская область,2003,1800
Самарская область,2003,2246
Саратовская область,2003,2021
Ульяновская область,2003,1875
Курганская область,2003,2081
Свердловская область,2003,2173
Тюменская область,2003,
Челябинская область,2003,2046
Республика Алтай,2003,2103
Республика Бурятия,2003,2371
Республика Тыва,2003,2336
Республика Хакасия,2003,2169
Алтайский край,2003,1823
Красноярский край,2003,2579
Иркутская область,2003,2428
Кемеровская область,2003,2157
Новосибирская область,2003,2317
Омская область,2003,2012
Томская область,2003,2481
Республика Саха (Якутия),2003,3677
Приморский край,2003,2924
Хабаровский край,2003,3092
Амурская область,2003,2636
Магаданская область,2003,3562
Сахалинская область,2003,3887
Еврейская автономная область,2003,2593
Чукотский автономный округ,2003,
Белгородская область,2004,2019.0
Брянская область,2004,2000.0
Владимирская область,2004,2177.0
Воронежская область,2004,2109.0
Ивановская область,2004,2365.0
Калужская область,2004,2307.0
Костромская область,2004,2212.0
Курская область,2004,2334.0
Липецкая область,2004,1963.0
Московская область,2004,2817.0
Орловская область,2004,1980.0
Рязанская область,2004,2192.0
Смоленская область,2004,2165.0
Тамбовская область,2004,2016.0
Тверская область,2004,2361.0
Тульская область,2004,2108.0
Ярославская область,2004,2255.0
г. Москва,2004,3703.0
Республика Карелия,2004,2784.0
Республика Коми,2004,3229.0
Архангельская область,2004,2866.0
Вологодская область,2004,2354.0
Калининградская область,2004,2703.0
Ленинградская область,2004,2524.0
Мурманская область,2004,3798.0
Новгородская область,2004,2401.0
Псковская область,2004,2060.0
г. Санкт-Петербург,2004,2919.0
Республика Адыгея,2004,2074.0
Республика Калмыкия,2004,2079.0
Краснодарский край,2004,2278.0
Астраханская область,2004,2147.0
Волгоградская область,2004,1978.0
Ростовская область,2004,2180.0
Республика Дагестан,2004,1897.0
Республика Ингушетия,2004,2193.0
Кабардино-Балкарская Республика,2004,1823.0
Карачаево-Черкесская Республика,2004,1973.0
Республика Северная Осетия - Алания,2004,1841.0
Ставропольский край,2004,2244.0
Республика Башкортостан,2004,2001.0
Республика Марий Эл,2004,2001.0
Республика Мордовия,2004,2190.0
Республика Татарстан,2004,2012.0
Удмуртская Республика,2004,2178.0
Чувашская Республика,2004,2007.0
Кировская область,2004,2275.0
Нижегородская область,2004,2355.0
Оренбургская область,2004,2059.0
Пензенская область,2004,2123.0
Самарская область,2004,2630.0
Саратовская область,2004,2325.0
Ульяновская область,2004,2276.0
Курганская область,2004,2313.0
Свердловская область,2004,2432.0
Тюменская область,2004,2428.0
Челябинская область,2004,2303.0
Республика Алтай,2004,2458.0
Республика Бурятия,2004,2974.0
Республика Тыва,2004,2659.0
Республика Хакасия,2004,2464.0
Алтайский край,2004,2095.0
Красноярский край,2004,2865.0
Иркутская область,2004,2706.0
Кемеровская область,2004,2376.0
Новосибирская область,2004,2573.0
Омская область,2004,2153.0
Томская область,2004,2774.0
Республика Саха (Якутия),2004,4153.0
Приморский край,2004,3259.0
Хабаровский край,2004,3662.0
Амурская область,2004,3091.0
Магаданская область,2004,4008.0
Сахалинская область,2004,4435.0
Еврейская автономная область,2004,2940.0
Чукотский автономный округ,2004,
Белгородская область,2005,2369.0
Брянская область,2005,2342.0
Владимирская область,2005,2595.0
Воронежская область,2005,2485.0
Ивановская область,2005,2599.0
Калужская область,2005,2668.0
Костромская область,2005,2579.0
Курская область,2005,2535.0
Липецкая область,2005,2369.0
Московская область,2005,3227.0
Орловская область,2005,2333.0
Рязанская область,2005,2495.0
Смоленская область,2005,2510.0
Тамбовская область,2005,2303.0
Тверская область,2005,2720.0
Тульская область,2005,2478.0
Ярославская область,2005,2633.0
г. Москва,2005,4171.0
Республика Карелия,2005,3216.0
Республика Коми,2005,3750.0
Архангельская область,2005,3574.0
Вологодская область,2005,3011.0
Калининградская область,2005,3221.0
Ленинградская область,2005,2829.0
