region,year,opzh,vrp
Белгородская область,2000,68.07,42074.5
Брянская область,2000,64.68,24650.5
Владимирская область,2000,63.44,33017.7
Воронежская область,2000,66.54,49523.9
Ивановская область,2000,62.57,16900.0
Калужская область,2000,64.27,23903.3
Костромская область,2000,63.98,16662.2
Курская область,2000,65.32,30167.7
Липецкая область,2000,66.81,48067.7
Московская область,2000,65.38,176693.6
Орловская область,2000,65.58,22160.8
Рязанская область,2000,64.87,27956.5
Смоленская область,2000,62.94,28140.6
Тамбовская область,2000,64.96,23387.3
Тверская область,2000,62.46,35341.1
Тульская область,2000,63.09,42061.3
Ярославская область,2000,65.19,41756.2
г. Москва,2000,69.81,1159034.0
Республика Карелия,2000,62.88,28214.6
Республика Коми,2000,63.53,59473.1
Архангельская область,2000,62.77,61806.9
Вологодская область,2000,65.65,69195.5
Калининградская область,2000,63.57,23290.3
Ленинградская область,2000,63.04,56001.9
Мурманская область,2000,64.51,55135.0
Новгородская область,2000,62.81,20965.5
Псковская область,2000,61.85,16178.9
г. Санкт-Петербург,2000,66.7,188243.0
Республика Адыгея,2000,67.6,5519.6
Республика Калмыкия,2000,65.41,6212.6
Краснодарский край,2000,67.07,137125.3
Астраханская область,2000,65.25,28115.7
Волгоградская область,2000,66.44,63767.1
Ростовская область,2000,66.5,88955.0
Республика Дагестан,2000,70.98,20921.1
Республика Ингушетия,2000,71.98,2618.5
Кабардино-Балкарская Республика,2000,69.13,14081.3
Карачаево-Черкесская Республика,2000,68.4,5461.5
Республика Северная Осетия - Алания,2000,68.42,8363.2
Ставропольский край,2000,68.01,53732.4
Республика Башкортостан,2000,66.7,145125.0
Республика Марий Эл,2000,64.64,11207.6
Республика Мордовия,2000,66.87,17553.4
Республика Татарстан,2000,67.58,186154.4
Удмуртская Республика,2000,65.82,53307.4
Чувашская Республика,2000,66.39,22995.1
Кировская область,2000,65.73,35795.4
Нижегородская область,2000,65.05,105055.9
Оренбургская область,2000,64.97,76343.3
Пензенская область,2000,66.18,25218.7
Самарская область,2000,64.51,140407.4
Саратовская область,2000,65.01,63068.2
Ульяновская область,2000,65.89,30415.0
Курганская область,2000,64.45,18705.2
Свердловская область,2000,63.68,156077.0
Тюменская область,2000,65.9,570790.2
Челябинская область,2000,64.65,120561.0
Республика Алтай,2000,62.83,2737.5
Республика Тыва,2000,55.16,3594.1
Республика Хакасия,2000,62.75,17418.1
Алтайский край,2000,66.58,46736.8
Красноярский край,2000,62.45,214662.7
Иркутская область,2000,61.23,103013.8
Кемеровская область,2000,62.69,88728.1
Новосибирская область,2000,66.3,72012.7
Омская область,2000,66.2,46028.4
Томская область,2000,64.94,40539.5
Республика Бурятия,2000,62.68,21574.5
Республика Саха (Якутия),2000,63.66,81960.4
Приморский край,2000,63.73,62088.5
Хабаровский край,2000,63.03,64794.8
Амурская область,2000,62.15,26315.2
Магаданская область,2000,62.02,13009.5
Сахалинская область,2000,63.34,34777.0
Еврейская автономная область,2000,61.84,3784.0
Чукотский автономный округ,2000,60.17,3931.4
Белгородская область,2001,67.38,49941.8
Брянская область,2001,65.05,30110.3
Владимирская область,2001,63.56,42075.4
Воронежская область,2001,66.17,60014.6
Ивановская область,2001,63.18,22175.9
Калужская область,2001,64.27,31860.0
Костромская область,2001,63.65,22221.5
Курская область,2001,65.87,36399.8
Липецкая область,2001,66.53,50574.1
Московская область,2001,64.77,235159.6
Орловская область,2001,65.37,27624.8
Рязанская область,2001,64.71,37054.3
Смоленская область,2001,62.7,36016.3
Тамбовская область,2001,65.93,31086.6
Тверская область,2001,61.94,46986.4
Тульская область,2001,63.0,52891.2
Ярославская область,2001,64.22,61149.6
г. Москва,2001,67.4,1370182.8
Республика Карелия,2001,62.96,33721.2
Республика Коми,2001,64.79,78276.5
Архангельская область,2001,63.87,67274.7
Вологодская область,2001,64.37,65425.3
Калининградская область,2001,63.0,32327.2
Ленинградская область,2001,61.99,75858.6
Мурманская область,2001,65.87,57569.3
Новгородская область,2001,62.32,27501.0
Псковская область,2001,61.58,19416.9
г. Санкт-Петербург,2001,66.19,251654.4
Республика Адыгея,2001,68.77,6641.8
Республика Калмыкия,2001,66.32,6732.0
Краснодарский край,2001,67.0,179177.5
Астраханская область,2001,65.18,32274.3
Волгоградская область,2001,65.88,82919.7
Ростовская область,2001,66.23,118762.5
