region,year,opzh,vrp,real_wage_index
Белгородская область,2000,68.07,42074.5,117.0
Брянская область,2000,64.68,24650.5,116.2
Владимирская область,2000,63.44,33017.7,121.6
Воронежская область,2000,66.54,49523.9,116.7
Ивановская область,2000,62.57,16900.0,117.5
Калужская область,2000,64.27,23903.3,125.9
Костромская область,2000,63.98,16662.2,110.9
Курская область,2000,65.32,30167.7,111.3
Липецкая область,2000,66.81,48067.7,122.1
Московская область,2000,65.38,176693.6,119.5
Орловская область,2000,65.58,22160.8,122.4
Рязанская область,2000,64.87,27956.5,118.0
Смоленская область,2000,62.94,28140.6,115.9
Тамбовская область,2000,64.96,23387.3,112.2
Тверская область,2000,62.46,35341.1,115.8
Тульская область,2000,63.09,42061.3,121.4
Ярославская область,2000,65.19,41756.2,124.9
г. Москва,2000,69.81,1159034.0,110.2
Республика Карелия,2000,62.88,28214.6,117.1
Республика Коми,2000,63.53,59473.1,124.2
Архангельская область,2000,62.77,61806.9,121.0
Вологодская область,2000,65.65,69195.5,128.0
Калининградская область,2000,63.57,23290.3,114.9
Ленинградская область,2000,63.04,56001.9,120.6
Мурманская область,2000,64.51,55135.0,115.4
Новгородская область,2000,62.81,20965.5,114.1
Псковская область,2000,61.85,16178.9,118.4
г. Санкт-Петербург,2000,66.7,188243.0,120.6
Республика Адыгея,2000,67.6,5519.6,115.0
Республика Калмыкия,2000,65.41,6212.6,123.6
Краснодарский край,2000,67.07,137125.3,121.0
Астраханская область,2000,65.25,28115.7,125.1
Волгоградская область,2000,66.44,63767.1,124.0
Ростовская область,2000,66.5,88955.0,123.4
Республика Дагестан,2000,70.98,20921.1,152.1
Республика Ингушетия,2000,71.98,2618.5,123.9
Кабардино-Балкарская Республика,2000,69.13,14081.3,120.0
Карачаево-Черкесская Республика,2000,68.4,5461.5,117.2
Республика Северная Осетия - Алания,2000,68.42,8363.2,119.9
Ставропольский край,2000,68.01,53732.4,122.4
Республика Башкортостан,2000,66.7,145125.0,126.0
Республика Марий Эл,2000,64.64,11207.6,108.9
Республика Мордовия,2000,66.87,17553.4,113.1
Республика Татарстан,2000,67.58,186154.4,125.1
Удмуртская Республика,2000,65.82,53307.4,120.5
