region,year,unemployment_rate
Белгородская область,2001,6.5
Брянская область,2001,10.0
Владимирская область,2001,9.9
Воронежская область,2001,9.6
Ивановская область,2001,5.6
Калужская область,2001,6.0
Костромская область,2001,6.0
Курская область,2001,10.4
Липецкая область,2001,6.6
Московская область,2001,5.5
Орловская область,2001,7.9
Рязанская область,2001,11.2
Смоленская область,2001,9.9
Тамбовская область,2001,12.4
Тверская область,2001,7.8
Тульская область,2001,5.2
Ярославская область,2001,7.1
г. Москва,2001,2.1
Республика Карелия,2001,8.7
Республика Коми,2001,14.0
Архангельская область,2001,8.8
Вологодская область,2001,8.9
Калининградская область,2001,9.6
Ленинградская область,2001,6.9
Мурманская область,2001,12.8
Новгородская область,2001,6.4
Псковская область,2001,10.3
г. Санкт-Петербург,2001,3.9
Республика Адыгея,2001,14.1
Республика Калмыкия,2001,19.1
Краснодарский край,2001,10.7
Астраханская область,2001,10.5
Волгоградская область,2001,9.8
Ростовская область,2001,12.9
Республика Дагестан,2001,28.8
Республика Ингушетия,2001,34.9
Кабардино-Балкарская Республика,2001,16.8
Карачаево-Черкесская Республика,2001,18.6
Республика Северная Осетия - Алания,2001,16.7
Ставропольский край,2001,9.8
Республика Башкортостан,2001,10.7
Республика Марий Эл,2001,9.4
Республика Мордовия,2001,10.5
Республика Татарстан,2001,6.3
Удмуртская Республика,2001,7.5
Чувашская Республика,2001,9.6
Кировская область,2001,7.7
Нижегородская область,2001,8.3
Оренбургская область,2001,8.5
Пензенская область,2001,13.9
Самарская область,2001,6.0
Саратовская область,2001,10.0
Ульяновская область,2001,9.0
Курганская область,2001,13.3
Свердловская область,2001,7.7
Тюменская область,2001,10.4
Челябинская область,2001,8.7
Республика Алтай,2001,9.7
Республика Бурятия,2001,18.5
Республика Тыва,2001,23.9
Республика Хакасия,2001,8.8
Алтайский край,2001,9.9
Красноярский край,2001,9.7
Иркутская область,2001,10.9
Кемеровская область,2001,10.0
Новосибирская область,2001,12.4
Омская область,2001,10.0
Томская область,2001,9.8
Республика Саха (Якутия),2001,8.2
Приморский край,2001,8.6
Хабаровский край,2001,10.3
Амурская область,2001,12.2
Магаданская область,2001,11.7
Сахалинская область,2001,12.0
Еврейская автономная область,2001,9.5
Чукотский автономный округ,2001,7.4
Белгородская область,2002,8.2
Брянская область,2002,8.5
Владимирская область,2002,10.3
Воронежская область,2002,8.9
Ивановская область,2002,6.8
Калужская область,2002,6.6
Костромская область,2002,5.0
Курская область,2002,7.3
Липецкая область,2002,4.9
Московская область,2002,4.3
Орловская область,2002,6.7
Рязанская область,2002,8.1
Смоленская область,2002,11.1
Тамбовская область,2002,9.7
Тверская область,2002,4.8
Тульская область,2002,6.1
Ярославская область,2002,3.8
г. Москва,2002,1.4
Республика Карелия,2002,7.9
Республика Коми,2002,9.1
Архангельская область,2002,8.1
Вологодская область,2002,6.0
Калининградская область,2002,7.1
Ленинградская область,2002,7.0
Мурманская область,2002,10.2
Новгородская область,2002,6.3
Псковская область,2002,8.2
г. Санкт-Петербург,2002,3.4
Республика Адыгея,2002,13.5
Республика Калмыкия,2002,18.1
Краснодарский край,2002,7.6
Астраханская область,2002,11.1
Волгоградская область,2002,8.4
Ростовская область,2002,11.3
Республика Дагестан,2002,23.9
Республика Ингушетия,2002,44.0
Кабардино-Балкарская Республика,2002,18.7
Карачаево-Черкесская Республика,2002,12.0
Республика Северная Осетия - Алания,2002,12.5
Ставропольский край,2002,9.6
Республика Башкортостан,2002,8.3
Республика Марий Эл,2002,13.8
Республика Мордовия,2002,9.4
Республика Татарстан,2002,5.3
Удмуртская Республика,2002,7.9
Чувашская Республика,2002,9.5
Кировская область,2002,6.9
Нижегородская область,2002,7.8
Оренбургская область,2002,10.3
Пензенская область,2002,7.4
Самарская область,2002,5.4
Саратовская область,2002,7.5
Ульяновская область,2002,6.1
Курганская область,2002,10.7
Свердловская область,2002,8.4
Тюменская область,2002,8.7
Челябинская область,2002,6.4
Республика Алтай,2002,11.5
Республика Бурятия,2002,15.4
Республика Тыва,2002,20.5
Республика Хакасия,2002,8.0
Алтайский край,2002,8.3
Красноярский край,2002,7.7
Иркутская область,2002,11.0
Кемеровская область,2002,9.3
Новосибирская область,2002,11.4
Омская область,2002,9.5
Томская область,2002,11.1
Республика Саха (Якутия),2002,7.1
Приморский край,2002,8.9
Хабаровский край,2002,6.7
Амурская область,2002,11.0
Магаданская область,2002,8.2
Сахалинская область,2002,9.5
Еврейская автономная область,2002,9.1
Чукотский автономный округ,2002,4.6
Белгородская область,2003,8.2
Брянская область,2003,7.4
Владимирская область,2003,10.1
Воронежская область,2003,8.1
Ивановская область,2003,6.6
Калужская область,2003,6.2
Костромская область,2003,6.2
Курская область,2003,8.5
Липецкая область,2003,4.4
Московская область,2003,4.4
Орловская область,2003,7.8
Рязанская область,2003,8.3
Смоленская область,2003,10.8
Тамбовская область,2003,9.0
Тверская область,2003,6.6
Тульская область,2003,5.3
Ярославская область,2003,5.7
г. Москва,2003,1.3
Республика Карелия,2003,8.4
Республика Коми,2003,11.9
Архангельская область,2003,9.9
Вологодская область,2003,4.7
Калининградская область,2003,7.6
Ленинградская область,2003,8.7
Мурманская область,2003,10.2
Новгородская область,2003,5.0
Псковская область,2003,8.1
г. Санкт-Петербург,2003,4.2
Республика Адыгея,2003,15.9
Республика Калмыкия,2003,17.5
Краснодарский край,2003,10.2
Астраханская область,2003,10.1
Волгоградская область,2003,11.0
Ростовская область,2003,12.6
Республика Дагестан,2003,20.6
Республика Ингушетия,2003,55.6
Кабардино-Балкарская Республика,2003,22.6
Карачаево-Черкесская Республика,2003,19.2
Республика Северная Осетия - Алания,2003,10.2
Ставропольский край,2003,10.5
Республика Башкортостан,2003,8.1
Республика Марий Эл,2003,12.0
Республика Мордовия,2003,7.4
Республика Татарстан,2003,6.7
Удмуртская Республика,2003,6.7
Чувашская Республика,2003,8.5
Кировская область,2003,7.3
Нижегородская область,2003,6.2
Оренбургская область,2003,11.4
Пензенская область,2003,9.0
Самарская область,2003,4.4
Саратовская область,2003,10.6
Ульяновская область,2003,7.3
Курганская область,2003,9.4
Свердловская область,2003,7.6
Тюменская область,2003,8.3
Челябинская область,2003,5.9
Республика Алтай,2003,10.2
Республика Бурятия,2003,16.9
Республика Тыва,2003,20.7
Республика Хакасия,2003,10.5
Алтайский край,2003,12.1
Красноярский край,2003,11.1
Иркутская область,2003,11.7
Кемеровская область,2003,9.8
Новосибирская область,2003,11.1
Омская область,2003,9.5
Томская область,2003,13.9
Республика Саха (Якутия),2003,9.3
Приморский край,2003,8.1
Хабаровский край,2003,6.2
Амурская область,2003,10.2
Магаданская область,2003,10.1
Сахалинская область,2003,9.3
Еврейская автономная область,2003,6.5
Чукотский автономный округ,2003,4.8
Белгородская область,2004,5.9
Брянская область,2004,8.8
Владимирская область,2004,9.1
Воронежская область,2004,8.6
Ивановская область,2004,4.6
Калужская область,2004,6.3
Костромская область,2004,5.9
Курская область,2004,7.5
Липецкая область,2004,4.2
Московская область,2004,3.7
Орловская область,2004,5.9
Рязанская область,2004,5.8
Смоленская область,2004,9.1
Тамбовская область,2004,9.7
Тверская область,2004,5.3
Тульская область,2004,4.6
Ярославская область,2004,4.7
г. Москва,2004,1.6
Республика Карелия,2004,7.3
Республика Коми,2004,12.4
Архангельская область,2004,7.2
Вологодская область,2004,6.3
Калининградская область,2004,6.5
Ленинградская область,2004,6.8
Мурманская область,2004,11.0
Новгородская область,2004,6.2
Псковская область,2004,5.6
г. Санкт-Петербург,2004,2.7
Республика Адыгея,2004,17.6
Республика Калмыкия,2004,21.7
Краснодарский край,2004,8.8
Астраханская область,2004,11.0
Волгоградская область,2004,9.4
Ростовская область,2004,8.6
Республика Дагестан,2004,27.2
Республика Ингушетия,2004,46.3
Кабардино-Балкарская Республика,2004,25.7
Карачаево-Черкесская Республика,2004,16.9
Республика Северная Осетия - Алания,2004,11.7
Ставропольский край,2004,9.6
Республика Башкортостан,2004,7.1
Республика Марий Эл,2004,9.1
Республика Мордовия,2004,6.0
Республика Татарстан,2004,7.4
Удмуртская Республика,2004,8.0
Чувашская Республика,2004,9.9
Кировская область,2004,8.7
Нижегородская область,2004,7.4
Оренбургская область,2004,10.8
Пензенская область,2004,6.9
Самарская область,2004,5.3
Саратовская область,2004,9.9
Ульяновская область,2004,9.5
Курганская область,2004,12.5
Свердловская область,2004,7.3
Тюменская область,2004,8.7
Челябинская область,2004,5.2
Республика Алтай,2004,9.6
Республика Бурятия,2004,15.3
Республика Тыва,2004,19.7
Республика Хакасия,2004,10.3
Алтайский край,2004,9.0
Красноярский край,2004,9.2
Иркутская область,2004,10.5
Кемеровская область,2004,9.8
Новосибирская область,2004,9.0
Омская область,2004,9.1
Томская область,2004,10.1
Республика Саха (Якутия),2004,8.8
Приморский край,2004,9.6
Хабаровский край,2004,6.6
Амурская область,2004,11.2
Магаданская область,2004,7.9
Сахалинская область,2004,7.5
Еврейская автономная область,2004,8.3
Чукотский автономный округ,2004,3.5
Белгородская область,2005,6.0
Брянская область,2005,6.7
Владимирская область,2005,9.0
Воронежская область,2005,7.5
Ивановская область,2005,6.8
Калужская область,2005,5.7
Костромская область,2005,4.8
Курская область,2005,7.1
Липецкая область,2005,8.0
Московская область,2005,3.3
Орловская область,2005,6.1
Рязанская область,2005,5.3
Смоленская область,2005,7.8
Тамбовская область,2005,8.5
Тверская область,2005,5.9
Тульская область,2005,5.0
Ярославская область,2005,4.0
г. Москва,2005,0.8
Республика Карелия,2005,8.8
Республика Коми,2005,11.5
Архангельская область,2005,5.5
Вологодская область,2005,5.2
Калининградская область,2005,6.6
