region,year,real_wage_index
Белгородская область,2001,118.2
Брянская область,2001,125.0
Владимирская область,2001,119.9
Воронежская область,2001,115.8
Ивановская область,2001,124.3
Калужская область,2001,123.7
Костромская область,2001,120.0
Курская область,2001,111.2
Липецкая область,2001,117.4
Московская область,2001,121.8
Орловская область,2001,120.8
Рязанская область,2001,125.4
Смоленская область,2001,119.0
Тамбовская область,2001,119.0
Тверская область,2001,122.8
Тульская область,2001,120.2
Ярославская область,2001,120.7
г. Москва,2001,124.0
Республика Карелия,2001,109.8
Республика Коми,2001,117.5
Архангельская область,2001,116.6
Вологодская область,2001,116.0
Калининградская область,2001,121.6
Ленинградская область,2001,120.7
Мурманская область,2001,114.4
Новгородская область,2001,117.7
Псковская область,2001,118.2
г. Санкт-Петербург,2001,119.9
Республика Адыгея,2001,114.0
Республика Калмыкия,2001,123.3
Краснодарский край,2001,118.7
Астраханская область,2001,116.0
Волгоградская область,2001,116.0
Ростовская область,2001,125.3
Республика Дагестан,2001,114.5
Республика Ингушетия,2001,109.3
Кабардино-Балкарская Республика,2001,113.3
Карачаево-Черкесская Республика,2001,121.5
Республика Северная Осетия - Алания,2001,121.4
Ставропольский край,2001,120.4
Республика Башкортостан,2001,120.6
Республика Марий Эл,2001,116.3
Республика Мордовия,2001,117.1
Республика Татарстан,2001,120.3
Удмуртская Республика,2001,119.8
Чувашская Республика,2001,117.4
Кировская область,2001,114.0
Нижегородская область,2001,120.7
Оренбургская область,2001,111.0
Пензенская область,2001,114.6
Самарская область,2001,118.8
Саратовская область,2001,115.9
Ульяновская область,2001,107.5
Курганская область,2001,113.7
Свердловская область,2001,114.1
Тюменская область,2001,122.0
Челябинская область,2001,110.9
Республика Алтай,2001,124.2
Республика Бурятия,2001,115.3
Республика Тыва,2001,125.9
Республика Хакасия,2001,113.4
Алтайский край,2001,110.3
Красноярский край,2001,110.5
Иркутская область,2001,112.9
Кемеровская область,2001,112.6
Новосибирская область,2001,121.1
Омская область,2001,130.7
Томская область,2001,125.7
Республика Саха (Якутия),2001,114.9
Приморский край,2001,114.5
Хабаровский край,2001,114.8
Амурская область,2001,118.5
Магаданская область,2001,110.9
Сахалинская область,2001,112.2
Еврейская автономная область,2001,117.7
Чукотский автономный округ,2001,132.7
Белгородская область,2002,119.2
Брянская область,2002,123.9
Владимирская область,2002,119.8
Воронежская область,2002,117.0
Ивановская область,2002,126.2
Калужская область,2002,117.2
Костромская область,2002,118.6
Курская область,2002,120.2
Липецкая область,2002,113.0
Московская область,2002,117.8
Орловская область,2002,117.7
Рязанская область,2002,123.4
Смоленская область,2002,121.1
Тамбовская область,2002,127.6
Тверская область,2002,122.1
Тульская область,2002,117.6
Ярославская область,2002,117.7
г. Москва,2002,108.8
Республика Карелия,2002,119.2
Республика Коми,2002,109.1
Архангельская область,2002,114.5
Вологодская область,2002,111.8
Калининградская область,2002,125.0
Ленинградская область,2002,120.1
Мурманская область,2002,110.9
Новгородская область,2002,120.2
Псковская область,2002,122.6
г. Санкт-Петербург,2002,127.2
Республика Адыгея,2002,123.3
Республика Калмыкия,2002,122.6
Краснодарский край,2002,115.9
