region,year,opzh
Белгородская область,2000,68.07
Брянская область,2000,64.68
Владимирская область,2000,63.44
Воронежская область,2000,66.54
Ивановская область,2000,62.57
Калужская область,2000,64.27
Костромская область,2000,63.98
Курская область,2000,65.32
Липецкая область,2000,66.81
Московская область,2000,65.38
Орловская область,2000,65.58
Рязанская область,2000,64.87
Смоленская область,2000,62.94
Тамбовская область,2000,64.96
Тверская область,2000,62.46
Тульская область,2000,63.09
Ярославская область,2000,65.19
г. Москва,2000,69.81
Республика Карелия,2000,62.88
Республика Коми,2000,63.53
Архангельская область,2000,62.77
Вологодская область,2000,65.65
Калининградская область,2000,63.57
Ленинградская область,2000,63.04
Мурманская область,2000,64.51
Новгородская область,2000,62.81
Псковская область,2000,61.85
г. Санкт-Петербург,2000,66.7
Республика Адыгея,2000,67.6
Республика Калмыкия,2000,65.41
Краснодарский край,2000,67.07
Астраханская область,2000,65.25
Волгоградская область,2000,66.44
Ростовская область,2000,66.5
Республика Дагестан,2000,70.98
Республика Ингушетия,2000,71.98
Кабардино-Балкарская Республика,2000,69.13
Карачаево-Черкесская Республика,2000,68.4
Республика Северная Осетия - Алания,2000,68.42
Ставропольский край,2000,68.01
Республика Башкортостан,2000,66.7
Республика Марий Эл,2000,64.64
Республика Мордовия,2000,66.87
Республика Татарстан,2000,67.58
Удмуртская Республика,2000,65.82
Чувашская Республика,2000,66.39
Кировская область,2000,65.73
Нижегородская область,2000,65.05
Оренбургская область,2000,64.97
Пензенская область,2000,66.18
Самарская область,2000,64.51
Саратовская область,2000,65.01
Ульяновская область,2000,65.89
Курганская область,2000,64.45
Свердловская область,2000,63.68
Тюменская область,2000,65.9
Челябинская область,2000,64.65
Республика Алтай,2000,62.83
Республика Тыва,2000,55.16
Республика Хакасия,2000,62.75
Алтайский край,2000,66.58
Красноярский край,2000,62.45
Иркутская область,2000,61.23
Кемеровская область,2000,62.69
Новосибирская область,2000,66.3
Омская область,2000,66.2
Томская область,2000,64.94
Республика Бурятия,2000,62.68
Республика Саха (Якутия),2000,63.66
Приморский край,2000,63.73
Хабаровский край,2000,63.03
Амурская область,2000,62.15
Магаданская область,2000,62.02
Сахалинская область,2000,63.34
Еврейская автономная область,2000,61.84
Чукотский автономный округ,2000,60.17
Белгородская область,2001,67.38
Брянская область,2001,65.05
Владимирская область,2001,63.56
Воронежская область,2001,66.17
Ивановская область,2001,63.18
Калужская область,2001,64.27
Костромская область,2001,63.65
Курская область,2001,65.87
Липецкая область,2001,66.53
Московская область,2001,64.77
Орловская область,2001,65.37
Рязанская область,2001,64.71
Смоленская область,2001,62.7
Тамбовская область,2001,65.93
Тверская область,2001,61.94
Тульская область,2001,63.0
Ярославская область,2001,64.22
г. Москва,2001,67.4
Республика Карелия,2001,62.96
Республика Коми,2001,64.79
Архангельская область,2001,63.87
Вологодская область,2001,64.37
Калининградская область,2001,63.0
Ленинградская область,2001,61.99
Мурманская область,2001,65.87
Новгородская область,2001,62.32
Псковская область,2001,61.58
г. Санкт-Петербург,2001,66.19
Республика Адыгея,2001,68.77
Республика Калмыкия,2001,66.32
Краснодарский край,2001,67.0
Астраханская область,2001,65.18
Волгоградская область,2001,65.88
Ростовская область,2001,66.23
Республика Дагестан,2001,71.56
Республика Ингушетия,2001,74.6
Кабардино-Балкарская Республика,2001,67.96
Карачаево-Черкесская Республика,2001,69.38
Республика Северная Осетия - Алания,2001,69.43
Ставропольский край,2001,67.75
Республика Башкортостан,2001,66.68
Республика Марий Эл,2001,64.58
Республика Мордовия,2001,67.38
Республика Татарстан,2001,67.63
Удмуртская Республика,2001,65.26
Чувашская Республика,2001,66.36
Кировская область,2001,65.88
Нижегородская область,2001,64.92
Оренбургская область,2001,65.21
Пензенская область,2001,66.54
Самарская область,2001,64.73
Саратовская область,2001,65.42
Ульяновская область,2001,65.99
Курганская область,2001,64.95
Свердловская область,2001,64.72
Тюменская область,2001,66.73
Челябинская область,2001,65.08
Республика Алтай,2001,62.37
Республика Тыва,2001,56.48
Республика Хакасия,2001,63.57
Алтайский край,2001,66.3
Красноярский край,2001,63.34
Иркутская область,2001,61.82
Кемеровская область,2001,62.77
Новосибирская область,2001,66.26
Омская область,2001,66.65
Томская область,2001,65.49
Республика Бурятия,2001,62.47
Республика Саха (Якутия),2001,64.37
Приморский край,2001,64.37
Хабаровский край,2001,63.02
Амурская область,2001,62.43
Магаданская область,2001,65.06
Сахалинская область,2001,62.73
Еврейская автономная область,2001,62.27
Чукотский автономный округ,2001,62.54
Белгородская область,2002,67.53
Брянская область,2002,64.07
Владимирская область,2002,62.79
Воронежская область,2002,66.07
Ивановская область,2002,62.12
Калужская область,2002,64.26
Костромская область,2002,62.88
Курская область,2002,65.34
Липецкая область,2002,66.34
Московская область,2002,64.89
Орловская область,2002,65.5
Рязанская область,2002,64.21
Смоленская область,2002,61.96
Тамбовская область,2002,65.34
Тверская область,2002,61.52
Тульская область,2002,62.94
Ярославская область,2002,63.34
г. Москва,2002,67.43
Республика Карелия,2002,62.2
Республика Коми,2002,63.39
Архангельская область,2002,63.26
Вологодская область,2002,63.77
Калининградская область,2002,62.29
Ленинградская область,2002,61.82
Мурманская область,2002,65.58
Новгородская область,2002,61.86
Псковская область,2002,61.09
г. Санкт-Петербург,2002,66.41
Республика Адыгея,2002,68.76
Республика Калмыкия,2002,65.79
Краснодарский край,2002,66.8
Астраханская область,2002,65.16
Волгоградская область,2002,66.19
Ростовская область,2002,66.23
Республика Дагестан,2002,71.43
Республика Ингушетия,2002,74.82
Кабардино-Балкарская Республика,2002,68.31
Карачаево-Черкесская Республика,2002,69.21
Республика Северная Осетия - Алания,2002,69.11
Ставропольский край,2002,67.0
Республика Башкортостан,2002,66.08
Республика Марий Эл,2002,64.01
Республика Мордовия,2002,66.72
Республика Татарстан,2002,67.55
Удмуртская Республика,2002,64.34
Чувашская Республика,2002,66.05
Кировская область,2002,64.38
Нижегородская область,2002,64.45
Оренбургская область,2002,65.1
Пензенская область,2002,66.01
Самарская область,2002,65.5
Саратовская область,2002,65.8
Ульяновская область,2002,65.29
Курганская область,2002,64.47
Свердловская область,2002,64.1
Тюменская область,2002,66.87
Челябинская область,2002,64.75
Республика Алтай,2002,61.32
Республика Тыва,2002,55.04
Республика Хакасия,2002,62.41
Алтайский край,2002,65.66
Красноярский край,2002,63.37
Иркутская область,2002,61.51
Кемеровская область,2002,62.41
Новосибирская область,2002,65.8
Омская область,2002,66.09
Томская область,2002,64.83
Республика Бурятия,2002,62.13
Республика Саха (Якутия),2002,64.81
Приморский край,2002,64.07
Хабаровский край,2002,62.6
Амурская область,2002,62.2
Магаданская область,2002,65.75
Сахалинская область,2002,62.84
Еврейская автономная область,2002,61.6
Чукотский автономный округ,2002,65.43
Белгородская область,2003,68.26
Брянская область,2003,64.62
Владимирская область,2003,63.18
Воронежская область,2003,66.19
Ивановская область,2003,62.42
Калужская область,2003,64.56
Костромская область,2003,62.39
Курская область,2003,65.35
Липецкая область,2003,65.85
Московская область,2003,65.26
Орловская область,2003,65.23
Рязанская область,2003,63.91
Смоленская область,2003,62.34
Тамбовская область,2003,65.47
Тверская область,2003,61.53
Тульская область,2003,63.03
Ярославская область,2003,63.46
г. Москва,2003,69.64
Республика Карелия,2003,60.81
Республика Коми,2003,61.67
Архангельская область,2003,62.11
Вологодская область,2003,62.47
Калининградская область,2003,61.68
Ленинградская область,2003,61.74
Мурманская область,2003,63.2
Новгородская область,2003,60.84
Псковская область,2003,60.86
г. Санкт-Петербург,2003,66.49
Республика Адыгея,2003,67.51
Республика Калмыкия,2003,66.18
Краснодарский край,2003,67.33
Астраханская область,2003,65.36
Волгоградская область,2003,66.43
Ростовская область,2003,66.47
Республика Дагестан,2003,72.33
Республика Ингушетия,2003,75.13
Кабардино-Балкарская Республика,2003,68.7
Карачаево-Черкесская Республика,2003,68.1
Республика Северная Осетия - Алания,2003,68.47
Ставропольский край,2003,67.14
Республика Башкортостан,2003,66.39
Республика Марий Эл,2003,63.99
Республика Мордовия,2003,66.28
Республика Татарстан,2003,67.84
Удмуртская Республика,2003,64.34
Чувашская Республика,2003,66.09
Кировская область,2003,63.71
Нижегородская область,2003,64.03
Оренбургская область,2003,65.35
Пензенская область,2003,65.67
Самарская область,2003,65.59
Саратовская область,2003,65.46
Ульяновская область,2003,65.25
Курганская область,2003,63.87
Свердловская область,2003,63.97
Тюменская область,2003,66.07
Челябинская область,2003,64.78
Республика Алтай,2003,60.24
Республика Тыва,2003,54.31
Республика Хакасия,2003,60.75
Алтайский край,2003,66.05
Красноярский край,2003,63.03
Иркутская область,2003,60.68
Кемеровская область,2003,61.86
Новосибирская область,2003,65.83
Омская область,2003,66.01
Томская область,2003,64.44
Республика Бурятия,2003,61.25
Республика Саха (Якутия),2003,63.96
Приморский край,2003,63.07
Хабаровский край,2003,61.85
Амурская область,2003,61.26
Магаданская область,2003,63.03
Сахалинская область,2003,61.44
Еврейская автономная область,2003,60.8
Чукотский автономный округ,2003,59.1
Белгородская область,2004,68.17
Брянская область,2004,64.16
Владимирская область,2004,62.85
Воронежская область,2004,66.13
Ивановская область,2004,62.37
Калужская область,2004,64.46
Костромская область,2004,62.64
Курская область,2004,64.95
Липецкая область,2004,65.69
Московская область,2004,65.57
Орловская область,2004,65.02
Рязанская область,2004,64.14
Смоленская область,2004,62.27
Тамбовская область,2004,65.57
Тверская область,2004,61.63
Тульская область,2004,63.02
Ярославская область,2004,63.77
г. Москва,2004,70.77
Республика Карелия,2004,61.58
Республика Коми,2004,62.21
Архангельская область,2004,62.33
Вологодская область,2004,62.78
Калининградская область,2004,61.36
Ленинградская область,2004,61.97
Мурманская область,2004,63.59
Новгородская область,2004,61.44
Псковская область,2004,60.63
г. Санкт-Петербург,2004,67.34
Республика Адыгея,2004,67.76
Республика Калмыкия,2004,67.29
Краснодарский край,2004,67.52
Астраханская область,2004,65.31
Волгоградская область,2004,66.94
Ростовская область,2004,66.74
Республика Дагестан,2004,72.7
Республика Ингушетия,2004,75.92
Кабардино-Балкарская Республика,2004,69.8
Карачаево-Черкесская Республика,2004,69.54
