Регион,2000,2001,2002,2003
Агинский Бурятский автономный округ,9103.0,13373.0,16365.0,20160.0
Алтайский край,487569.0,634701.0,752230.0,901855.0
Амурская область,265763.0,386307.0,464668.0,547831.0
Архангельская область,625627.0,682059.0,845532.0,1076078.0
Астраханская область,320721.0,364417.0,451918.0,542792.0
Белгородская область,444404.0,530431.0,657537.0,796929.0
Брянская область,263985.0,321064.0,399470.0,485793.0
Владимирская область,352422.0,449154.0,539833.0,670223.0
Волгоградская область,693778.0,901481.0,1132315.0,1374481.0
Вологодская область,702327.0,676357.0,833004.0,1141641.0
Воронежская область,532588.0,641245.0,877721.0,1050534.0
Еврейская автономная область,36827.0,46244.0,67472.0,85934.0
Ивановская область,180690.0,232926.0,286724.0,360013.0
Иркутская область,1062671.0,1253662.0,1499651.0,1770187.0
Кабардино-Балкарская Республика,157161.0,212512.0,235993.0,270038.0
Калининградская область,245761.0,340015.0,414879.0,513279.0
Калужская область,256550.0,341903.0,404018.0,533830.0
Камчатская область,177283.0,231151.0,258575.0,292942.0
Карачаево-Черкесская Республика,57267.0,76336.0,105318.0,118855.0
Кемеровская область,937740.0,1163259.0,1419223.0,1713834.0
Кировская область,381116.0,440783.0,534576.0,623882.0
Коми-Пермяцкий автономный округ,20019.0,24677.0,29021.0,30996.0
Корякский автономный округ,25741.0,33748.0,35244.0,43380.0
Костромская область,177637.0,235317.0,274979.0,329654.0
Краснодарский край,1470524.0,1904037.0,2302880.0,2758203.0
Красноярский край,2154110.0,2382770.0,2369255.0,2825427.0
Курганская область,195760.0,268032.0,313664.0,389176.0
Курская область,324517.0,387473.0,479152.0,595399.0
Ленинградская область,588337.0,810970.0,1017357.0,1323864.0
Липецкая область,480140.0,516616.0,719041.0,981406.0
Магаданская область,125677.0,157484.0,208882.0,229792.0
Московская область,2012539.0,2620874.0,3448850.0,4470549.0
Мурманская область,574413.0,573248.0,693254.0,816567.0
Ненецкий автономный округ,125733.0,126575.0,165645.0,252393.0
Нижегородская область,1121029.0,1607014.0,1839886.0,2224145.0
Новгородская область,214760.0,282169.0,325391.0,390690.0
Новосибирская область,765097.0,1064613.0,1333929.0,1680177.0
Омская область,484771.0,668115.0,1042462.0,1256971.0
Оренбургская область,808503.0,919877.0,1025681.0,1252027.0
Орловская область,252777.0,306188.0,398668.0,459250.0
Пензенская область,273779.0,352267.0,442446.0,491514.0
Пермская область,1297489.0,1817684.0,1934931.0,2321596.0
Приморский край,639893.0,735389.0,1007877.0,1240361.0
Псковская область,171780.0,205258.0,250359.0,303098.0
Республика Адыгея,59656.0,69700.0,83164.0,101648.0
Республика Алтай,37330.0,56538.0,62265.0,77663.0
Республика Башкортостан,1594981.0,1850031.0,2132318.0,2796644.0
Республика Бурятия,216907.0,302444.0,383834.0,467570.0
Республика Дагестан,211383.0,320425.0,421218.0,548517.0
Республика Ингушетия,58229.0,49060.0,37044.0,48217.0
Республика Калмыкия,86199.0,116332.0,93709.0,95306.0
Республика Карелия,282853.0,337737.0,417893.0,480593.0
Республика Коми,648313.0,856725.0,931473.0,1135506.0
Республика Марий Эл,120555.0,159963.0,190518.0,245819.0
Республика Мордовия,238332.0,246007.0,238111.0,369269.0
Республика Саха (Якутия),811855.0,1007306.0,1147582.0,1331426.0
Республика Северная Осетия - Алания,100609.0,146359.0,177403.0,209385.0
Республика Татарстан,2035524.0,2190958.0,2611970.0,3190704.0
Республика Тыва,36387.0,50066.0,67188.0,82778.0
Республика Хакасия,174281.0,198402.0,254750.0,292291.0
Ростовская область,943007.0,1260806.0,1482792.0,1834258.0
Рязанская область,318047.0,438329.0,553784.0,663142.0
Самарская область,1553602.0,2027744.0,2326480.0,2748752.0
Саратовская область,683114.0,904140.0,1038798.0,1313038.0
Сахалинская область,354121.0,481136.0,485629.0,674432.0
Свердловская область,1659371.0,2114968.0,2493656.0,3137981.0
Смоленская область,298965.0,380243.0,444594.0,517068.0
Ставропольский край,574741.0,718433.0,860248.0,1101427.0
Таймырский (Долгано-Ненецкий) автономный округ,19168.0,26983.0,27601.0,29654.0
Тамбовская область,250156.0,331321.0,412781.0,508680.0
Тверская область,381522.0,508878.0,593905.0,741275.0
Томская область,433502.0,621268.0,805055.0,1037254.0
Тульская область,438975.0,556807.0,687325.0,773200.0
Тюменская область,6158414.0,8171549.0,9604421.0,11941202.0
Удмуртская Республика,557843.0,695354.0,839319.0,977557.0
Ульяновская область,328921.0,410822.0,481362.0,583405.0
Усть-Ордынский Бурятский автономный округ,22656.0,31633.0,38078.0,41884.0
Хабаровский край,678350.0,819610.0,1018481.0,1225504.0
Ханты-Мансийский автономный округ - Югра,4387430.0,5383081.0,5894934.0,7608662.0
Челябинская область,1352484.0,1524775.0,1829772.0,2303591.0
Чеченская Республика,,,,
Читинская область,301735.0,360938.0,454485.0,555844.0
Чувашская Республика,250946.0,333304.0,407010.0,501808.0
Чукотский автономный округ,40045.0,79962.0,114321.0,183819.0
Эвенкийский автономный округ,5932.0,9441.0,15548.0,18580.0
Ямало-Ненецкий автономный округ,1264980.0,2035176.0,2832769.0,3262950.0
Ярославская область,465574.0,711882.0,877189.0,1044922.0
г. Москва,13089010.0,15511789.0,19756486.0,24414258.0
г. Санкт-Петербург,2050917.0,2750300.0,3671984.0,4356827.0
