Регион,ВРП 2003 (млн. руб.)
Валовой региональный продукт (валовая добавленная стоимость) по субъектам Российской Федерации,115823397.0
Белгородская область,796929.0
Брянская область,485793.0
Владимирская область,670223.0
Воронежская область,1050534.0
Ивановская область,360013.0
Калужская область,533830.0
Костромская область,329654.0
Курская область,595399.0
Липецкая область,981406.0
Московская область,4470549.0
Орловская область,459250.0
Рязанская область,663142.0
Смоленская область,517068.0
Тамбовская область,508680.0
Тверская область,741275.0
Тульская область,773200.0
Ярославская область,1044922.0
г. Москва,24414258.0
Республика Карелия,480593.0
Республика Коми,1135506.0
Архангельская область,1076078.0
Вологодская область,1141641.0
Калининградская область,513279.0
Ленинградская область,1323864.0
Мурманская область,816567.0
Новгородская область,390690.0
Псковская область,303098.0
г. Санкт-Петербург,4356827.0
Республика Адыгея,101648.0
Республика Дагестан,548517.0
Республика Ингушетия,48217.0
Кабардино-Балкарская Республика,270038.0
Республика Калмыкия,95306.0
Карачаево-Черкесская Республика,118855.0
Республика Северная Осетия - Алания,209385.0
Краснодарский край,2758203.0
Ставропольский край,1101427.0
Астраханская область,542792.0
Волгоградская область,1374481.0
Ростовская область,1834258.0
Республика Башкортостан,2796644.0
Республика Марий Эл,245819.0
Республика Мордовия,369269.0
Республика Татарстан,3190704.0
Удмуртская Республика,977557.0
Чувашская Республика,501808.0
Кировская область,623882.0
Нижегородская область,2224145.0
Оренбургская область,1252027.0
Пензенская область,491514.0
Пермская область,2321596.0
Самарская область,2748752.0
Саратовская область,1313038.0
Ульяновская область,583405.0
Курганская область,389176.0
Свердловская область,3137981.0
Тюменская область,11941202.0
Ханты-Мансийский автономный округ - Югра,7608662.0
Ямало-Ненецкий автономный округ,3262950.0
Челябинская область,2303591.0
Республика Алтай,77663.0
Республика Бурятия,467570.0
Республика Тыва,82778.0
Республика Хакасия,292291.0
Алтайский край,901855.0
Красноярский край,2825427.0
Таймырский (Долгано-Ненецкий) автономный округ,29654.0
Эвенкийский автономный округ,18580.0
Иркутская область,1770187.0
Кемеровская область,1713834.0
Новосибирская область,1680177.0
Омская область,1256971.0
Томская область,1037254.0
Читинская область,555844.0
Республика Саха (Якутия),1331426.0
Приморский край,1240361.0
Хабаровский край,1225504.0
Амурская область,547831.0
Камчатская область,292942.0
Магаданская область,229792.0
Сахалинская область,674432.0
Еврейская автономная область,85934.0
Чукотский автономный округ,183819.0
