Регион,2004,2005,2006,2007,2008,2009
Алтайский край,1148405.0,1356864.0,1738105.0,2235634.0,2593431.0,2675350.0
Амурская область,642502.0,768612.0,950909.0,1117612.0,1315637.0,1517504.0
Архангельская область,1425647.0,1664334.0,2159327.0,2686721.0,2897559.0,3230265.0
Астраханская область,567109.0,701276.0,851121.0,1003592.0,1475491.0,1322118.0
Белгородская область,1144093.0,1449878.0,1788461.0,2370133.0,3176563.0,3043430.0
Брянская область,510034.0,666923.0,821004.0,1027062.0,1258344.0,1261993.0
Владимирская область,742070.0,869268.0,1128417.0,1466630.0,1753957.0,1884663.0
Волгоградская область,1543377.0,2032322.0,2521427.0,3317668.0,4166785.0,3773663.0
Вологодская область,1613786.0,1939661.0,2019392.0,2433363.0,2949262.0,2128331.0
Воронежская область,1171976.0,1335866.0,1661765.0,2228119.0,2870721.0,3025101.0
Еврейская автономная область,112309.0,142042.0,179768.0,237261.0,239770.0,253451.0
Забайкальский край,612618.0,696471.0,907321.0,1108224.0,1403020.0,1483818.0
Ивановская область,401594.0,444154.0,550900.0,747520.0,869803.0,865728.0
Иркутская область,2132442.0,2580955.0,3308343.0,4026547.0,4388524.0,4555292.0
Кабардино-Балкарская Республика,290529.0,368334.0,433097.0,489087.0,580934.0,664271.0
Калининградская область,665521.0,818376.0,1031387.0,1439277.0,1792667.0,1698635.0
Калужская область,579938.0,709539.0,861505.0,1118690.0,1503944.0,1566462.0
Камчатский край,351393.0,439743.0,561198.0,660768.0,778543.0,955910.0
Карачаево-Черкесская Республика,131272.0,167243.0,232601.0,274697.0,357142.0,385827.0
Кемеровская область,2444620.0,2953784.0,3422106.0,4377902.0,5759019.0,5124216.0
Кировская область,707062.0,798006.0,970471.0,1181549.0,1511167.0,1449891.0
Костромская область,377874.0,446847.0,543511.0,657004.0,810407.0,787007.0
Краснодарский край,3136236.0,3729298.0,4839507.0,6482113.0,8038341.0,8575273.0
Красноярский край,3654541.0,4397369.0,5858819.0,7341548.0,7379505.0,7485121.0
Курганская область,424706.0,502458.0,684345.0,810760.0,1062232.0,1084892.0
Курская область,765061.0,866249.0,1040357.0,1287990.0,1678658.0,1614733.0
Ленинградская область,1664450.0,2054169.0,2652604.0,3090286.0,3832554.0,4251111.0
Липецкая область,1417783.0,1451944.0,1790573.0,2098215.0,2595322.0,2264640.0
Магаданская область,246123.0,271678.0,312032.0,353144.0,420538.0,481284.0
Московская область,5352044.0,7080621.0,9343289.0,12956499.0,16457530.0,15306230.0
Мурманская область,1249720.0,1328702.0,1581270.0,1915846.0,2137335.0,2017854.0
Ненецкий автономный округ,395867.0,447183.0,672484.0,978383.0,914764.0,1301696.0
Нижегородская область,2412304.0,2997237.0,3761803.0,4733074.0,5887908.0,5459401.0
Новгородская область,492423.0,638483.0,749238.0,866649.0,1151413.0,1174971.0
Новосибирская область,1918267.0,2353818.0,2960645.0,3655312.0,4535746.0,4239455.0
Омская область,1928773.0,2206861.0,2625067.0,2960047.0,3477603.0,3361912.0
Оренбургская область,1698767.0,2131382.0,3028084.0,3708809.0,4300231.0,4145372.0
Орловская область,460423.0,531819.0,648016.0,771012.0,966699.0,897335.0
Пензенская область,597117.0,743627.0,888050.0,1191040.0,1478532.0,1508510.0
Пермский край,2663259.0,3272733.0,3837701.0,4777942.0,6073627.0,5445413.0
Приморский край,1523011.0,1866233.0,2159344.0,2590414.0,3165819.0,3676983.0
Псковская область,358160.0,405829.0,514649.0,615619.0,732832.0,745501.0
Республика Адыгея,124932.0,170291.0,211324.0,290851.0,361344.0,414392.0
Республика Алтай,85167.0,88058.0,116094.0,151085.0,187010.0,198585.0
Республика Башкортостан,3108451.0,3816465.0,5052058.0,5900541.0,7431334.0,6455263.0
Республика Бурятия,639185.0,749129.0,917124.0,1074420.0,1247385.0,1246103.0
Республика Дагестан,807124.0,904426.0,1241535.0,1569288.0,2162772.0,2650921.0
Республика Ингушетия,62104.0,74193.0,90335.0,168124.0,191729.0,186541.0
Республика Калмыкия,85185.0,96857.0,128441.0,172258.0,207897.0,238988.0
Республика Карелия,539641.0,771248.0,842283.0,1046033.0,1152082.0,1062285.0
Республика Коми,1315880.0,1713072.0,2184907.0,2411505.0,2918121.0,3014100.0
Республика Марий Эл,300856.0,333507.0,436637.0,550692.0,657653.0,687680.0
Республика Мордовия,383349.0,442670.0,579742.0,770488.0,940583.0,928551.0
Республика Саха (Якутия),1534967.0,1830270.0,2068450.0,2426565.0,3095183.0,3296796.0
Республика Северная Осетия - Алания,242680.0,311822.0,433412.0,528048.0,577074.0,651407.0
Республика Татарстан,3911160.0,4827592.0,6059115.0,7574014.0,9260567.0,8842329.0
Республика Тыва,98385.0,116625.0,151468.0,193842.0,238705.0,269189.0
Республика Хакасия,331029.0,417275.0,53689.3,637220.0,723088.0,838390.0
Ростовская область,2211674.0,2630515.0,3400125.0,4504347.0,5761257.0,5561942.0
Рязанская область,699960.0,843827.0,1054919.0,1213052.0,1501512.0,1528058.0
Самарская область,3271185.0,4018122.0,4877135.0,5849686.0,6992956.0,5790232.0
Саратовская область,1516369.0,1709305.0,2042912.0,2528672.0,3217472.0,3271811.0
Сахалинская область,917296.0,1210141.0,1661054.0,2862730.0,3335816.0,3923117.0
Свердловская область,3643688.0,4755755.0,6539083.0,8207925.0,9235508.0,8238330.0
Смоленская область,561139.0,655256.0,790434.0,957034.0,1216013.0,1252373.0
Ставропольский край,1222354.0,1465693.0,1816751.0,2222396.0,2749920.0,2774668.0
Тамбовская область,567750.0,636148.0,797662.0,1060396.0,1208360.0,1335870.0
Тверская область,880815.0,968974.0,1273638.0,1560346.0,1922830.0,1978920.0
Томская область,1324393.0,1595785.0,1888007.0,2144870.0,2489062.0,2424812.0
Тульская область,881196.0,1162212.0,1422401.0,1741109.0,2317308.0,2136217.0
Тюменская область,15367337.0,22155844.0,25513554.0,27588131.0,31214013.0,28995671.0
Удмуртская Республика,1008331.0,1399953.0,1648485.0,2056474.0,2431355.0,2293691.0
Ульяновская область,675010.0,805844.0,1019503.0,1246762.0,1506803.0,1526274.0
Хабаровский край,1333305.0,1611944.0,1942596.0,2312932.0,2691786.0,2749835.0
Ханты-Мансийский автономный округ - Югра,9561965.0,13993359.0,15940971.0,17283402.0,19371591.0,18115909.0
Челябинская область,2911799.0,3499572.0,4469180.0,5756437.0,6644927.0,5646710.0
Чеченская Республика,,228989.0,323444.0,480561.0,662738.0,640897.0
Чувашская Республика,595738.0,693916.0,931720.0,1234533.0,1550323.0,1394818.0
Чукотский автономный округ,123578.0,123554.0,155380.0,209841.0,305587.0,453970.0
