region,year,vrp
Белгородская область,2000,42074.5
Брянская область,2000,24650.5
Владимирская область,2000,33017.7
Воронежская область,2000,49523.9
Ивановская область,2000,16900.0
Калужская область,2000,23903.3
Костромская область,2000,16662.2
Курская область,2000,30167.7
Липецкая область,2000,48067.7
Московская область,2000,176693.6
Орловская область,2000,22160.8
Рязанская область,2000,27956.5
Смоленская область,2000,28140.6
Тамбовская область,2000,23387.3
Тверская область,2000,35341.1
Тульская область,2000,42061.3
Ярославская область,2000,41756.2
г. Москва,2000,1159034.0
Республика Карелия,2000,28214.6
Республика Коми,2000,59473.1
Архангельская область,2000,61806.9
Вологодская область,2000,69195.5
Калининградская область,2000,23290.3
Ленинградская область,2000,56001.9
Мурманская область,2000,55135.0
Новгородская область,2000,20965.5
Псковская область,2000,16178.9
г. Санкт-Петербург,2000,188243.0
Республика Адыгея,2000,5519.6
Республика Калмыкия,2000,6212.6
Краснодарский край,2000,137125.3
Астраханская область,2000,28115.7
Волгоградская область,2000,63767.1
Ростовская область,2000,88955.0
Республика Дагестан,2000,20921.1
Республика Ингушетия,2000,2618.5
Кабардино-Балкарская Республика,2000,14081.3
Карачаево-Черкесская Республика,2000,5461.5
Республика Северная Осетия - Алания,2000,8363.2
Ставропольский край,2000,53732.4
Республика Башкортостан,2000,145125.0
Республика Марий Эл,2000,11207.6
Республика Мордовия,2000,17553.4
Республика Татарстан,2000,186154.4
Удмуртская Республика,2000,53307.4
Чувашская Республика,2000,22995.1
Кировская область,2000,35795.4
Нижегородская область,2000,105055.9
Оренбургская область,2000,76343.3
Пензенская область,2000,25218.7
Самарская область,2000,140407.4
Саратовская область,2000,63068.2
Ульяновская область,2000,30415.0
Курганская область,2000,18705.2
Свердловская область,2000,156077.0
Тюменская область,2000,570790.2
Челябинская область,2000,120561.0
Республика Алтай,2000,2737.5
Республика Тыва,2000,3594.1
Республика Хакасия,2000,17418.1
Алтайский край,2000,46736.8
Красноярский край,2000,214662.7
Иркутская область,2000,103013.8
Кемеровская область,2000,88728.1
Новосибирская область,2000,72012.7
Омская область,2000,46028.4
Томская область,2000,40539.5
Республика Бурятия,2000,21574.5
Республика Саха (Якутия),2000,81960.4
Приморский край,2000,62088.5
Хабаровский край,2000,64794.8
Амурская область,2000,26315.2
Магаданская область,2000,13009.5
Сахалинская область,2000,34777.0
Еврейская автономная область,2000,3784.0
Чукотский автономный округ,2000,3931.4
Белгородская область,2001,49941.8
Брянская область,2001,30110.3
Владимирская область,2001,42075.4
Воронежская область,2001,60014.6
Ивановская область,2001,22175.9
Калужская область,2001,31860.0
Костромская область,2001,22221.5
Курская область,2001,36399.8
Липецкая область,2001,50574.1
Московская область,2001,235159.6
Орловская область,2001,27624.8
Рязанская область,2001,37054.3
Смоленская область,2001,36016.3
Тамбовская область,2001,31086.6
Тверская область,2001,46986.4
Тульская область,2001,52891.2
Ярославская область,2001,61149.6
г. Москва,2001,1370182.8
